,compound,preverb,simplex
0,ἀμφιπεριφθινύθω,ἀμφί-περί,φθινύθω
1,ἀμφιπεριστέφομαι,ἀμφί-περί,στέφω
2,ἀμφιπεριστρωφάω,ἀμφί-περί,στρωφάω
3,ἀμφιπεριτρύζω,ἀμφί-περί,τρύζω
4,ἀμφαφάω,ἀμφί,ἁφάω
5,ἀμφαγαπάζω,ἀμφί,ἀγαπάζω
6,ἀμφαγείρομαι,ἀμφί,ἀγείρω
7,ἀμφαίσσομαι,ἀμφί,ἀίσσω
8,ἀμφαραβέω,ἀμφί,ἀραβέω
9,ἀμφαυτέω,ἀμφί,ἀυτέω
10,ἀμφιβάλλω,ἀμφί,βάλλω
11,ἀμφιβαίνω,ἀμφί,βαίνω
12,ἀμφιβόσκομαι,ἀμφί,βόσκω
13,ἀμφιδάκνω,ἀμφί,δάκνω
14,ἀμφιδαίω,ἀμφί,δάω
15,ἀμφιδέρκομαι,ἀμφί,δέρκομαι
16,ἀμφιδιαίνω,ἀμφί,διαίνω
17,ἀμφιδινέομαι,ἀμφί,δινεύω
18,ἀμφιδοξέω,ἀμφί,δοκέω
19,ἀμφιδοκεύω,ἀμφί,δοκεύω
20,ἀμφιδονέω,ἀμφί,δονέω
21,ἀμφιδύω,ἀμφί,δύω2
22,ἀμφιέννυμι,ἀμφί,ἕννυμι
23,ἀμφιέπω,ἀμφί,ἕπομαι
24,ἀμφελίσσω,ἀμφί,ἑλίσσω
25,ἀμφέρχομαι,ἀμφί,ἔρχομαι
26,ἀμπέχω,ἀμφί,ἔχω
27,ἀμφερέφω,ἀμφί,ἐρέφω
28,ἀμφιφαείνω,ἀμφί,φαίνω
29,ἀμφιφοβέομαι,ἀμφί,φοβέω
30,ἀμφιφράζομαι,ἀμφί,φράζω
31,ἀμφιγηθέω,ἀμφί,γηθέω
32,ἀμφιγνοέω,ἀμφί,γνοέω
33,ἀμφιξέω,ἀμφί,ἵκω
34,ἀμφίστημι,ἀμφί,ἵστημι
35,ἀμφιζάνω,ἀμφί,ἱζάνω
36,ἀμφιάχω,ἀμφί,ἰάχω
37,ἀμφικαλύπτω,ἀμφί,καλύπτω
38,ἀμφικεάζω,ἀμφί,κεάζω
39,ἀμφικείρω,ἀμφί,κείρω
40,ἀμφικομέω,ἀμφί,κομάω
41,ἀμφικρέμαμαι,ἀμφί,κρεμάννυμι
42,ἀμφικρύπτω,ἀμφί,κρύπτω
43,ἀμφικυκλόομαι,ἀμφί,κυκλόω
44,ἀμφικυλίνδω,ἀμφί,κυλίνδω
45,ἀμφιλαχαίνω,ἀμφί,λαχαίνω
46,ἀμφιλέγω,ἀμφί,λέγω3
47,ἀμφιλογέομαι,ἀμφί,λογέω
48,ἀμφιμάομαι,ἀμφί,μάομαι
49,ἀμφιμάχομαι,ἀμφί,μάχομαι
50,ἀμφιμερίζομαι,ἀμφί,μερίζω
51,ἀμφιμυκάομαι,ἀμφί,μυκάομαι
52,ἀμφινέμομαι,ἀμφί,νέμω
53,ἀμφινεύω,ἀμφί,νεύω
54,ἀμφινοέω,ἀμφί,νοέω
55,ἀμφιπατάσσω,ἀμφί,πατάσσω
56,ἀμφιπέλομαι,ἀμφί,πέλω
57,ἀμφιπένομαι,ἀμφί,πένομαι
58,ἀμφιπίπτω,ἀμφί,πίπτω
59,ἀμφιπιέζω,ἀμφί,πιέζω
60,ἀμφιπολέω,ἀμφί,πολέω
61,ἀμφιπολεύω,ἀμφί,πολεύω
62,ἀμφιπονέομαι,ἀμφί,πονέω
63,ἀμφιποτάομαι,ἀμφί,ποτάομαι
64,ἀμφιθάλλω,ἀμφί,θάλλω
65,ἀμφιθάλπω,ἀμφί,θάλπω
