tlg3135	Joannes Zonaras
tlg0059	Plato
tlg0032	Xenophon
tlg0035	Moschus
tlg0003	Thucydides
tlg0004	Diogenes Laertius
tlg0058	Aeneas Tacticus
tlg0093	Theophrastus
tlg0060	Diodorus Siculus
tlg1389	Harpocration, Valerius
tlg0638	Philostratus the Athenian
tlg1311	Didache
tlg0033	Pindar
tlg0525	Pausanias
tlg0719	Aretaeus of Cappadocia
tlg1600	Philostratus the Lemnian (Philostratus Major)
tlg0540	Lysias
tlg0548	Apollodorus
tlg1271	Clemens Romanus (Clement of Rome)
tlg0554	Chariton
tlg0562	Marcus Aurelius
tlg1443	Ignatius of Antioch
tlg1622	Polycarp
tlg1419	Hermas, 2nd cent.
tlg0011	Sophocles
tlg0016	Herodotus
tlg0020	Hesiod
tlg0074	Arrian
tlg0019	Aristophanes
tlg0028	Antiphon
tlg0641	Xenophon of Ephesus
tlg0010	Isocrates
tlg0646	Pseudo-Justinus Martyr
tlg0612	Dio Chrysostom
tlg0086	Aristotle
tlg0031	New Testament
tlg0007	Plutarch
tlg0062	Lucian
tlg0001	Apollonius Rhodius
tlg0006	Euripides
tlg4036	Proclus
tlg0008	Athenaeus
tlg0090	Agathemerus
tlg0099	Strabo
tlg0543	Polybius
tlg0527	Old Testament
tlg0560	Longinus
tlg0551	Appian
tlg1484	Martyrium Polycarpi
tlg0557	Epictetus
tlg1216	Barnabas
tlg0561	Longus
tlg0012	Homer
tlg0023	Oppian
tlg0085	Aeschylus
tlg1799	Euclid
tlg0013	Perseus Project
tlg0014	Demosthenes
tlg0526	Flavius Josephus
tlg0081	Dionysius of Halicarnassus
tlg0284	Aristides, Aelius
tlg4029	Procopius
tlg0385	Cassius Dio Cocceianus
tlg0545	Aelian
tlg7000	Perseus Project
tlg2045	Nonnus of Panopolis
tlg2003	Julian the Emperor
tlg0627	Hippocrates
tlg2018	Eusebius of Caesarea
tlg2934	John, of Damascus (attributed author)
tlg2040	Basil, Saint, Bishop of Caesarea
tlg2046	Quintus Smyrnaeus
tlg0026	Aeschines
tlg0532	Achilles Tatius
tlg0363	Claudius Ptolemy
tlg0017	Isaeus
tlg0555	Clement of Alexandria
tlg0057	Galen
tlg0094	Pseudo-Plutarch
tlg0005	Theocritus
tlg0027	Andocides
tlg0533	Callimachus
tlg0030	Hyperides
tlg0613	Demetrius of Phaleron (attributed author)
tlg0024	Oppian of Apamea
tlg0029	Dinarchus
tlg0034	Lycurgus
tlg0648	Onasander
tlg0653	Aratus Solensis
tlg0341	Lycophron
tlg0652	Philostratus Minor
tlg0556	Asclepiodotus
tlg0655	Parthenius
tlg0199	Bacchylides
tlg0647	Tryphiodorus
tlg4091	Callistratus
tlg4081	Colluthus
tlg0036	Bion of Phlossa
tlg0535	Demades
